alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1716612340.5874,transparent,655.39314748777,1710634255.3029,"AS12876 SCALEWAY S.A.S.",AS12876,Paris,Europe,EU,France,FR,,true,"Online S.A.S.",48.8714,2.32141,false,ONLINE,true,Île-de-France,success,Europe/Paris,75008,1716433541,1716619742.0287,3128,http,http://195.154.172.161:3128,false,102.15902328491,19888,22295,47.146954934452,195.154.172.161
true,1716501895.5053,elite,267.93047054501,1714930842.4256,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,102483,1716140545,1716619741.9831,4444,http,http://185.128.107.113:4444,false,234.67373847961,35767,29,99.918985361493,185.128.107.113
true,1716567255.7891,elite,261.07425652578,1714932421.1993,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"MediaServicePlus LLC",true,Moscow,success,Europe/Moscow,102483,1716142062,1716619741.9423,4444,http,http://185.128.106.173:4444,false,238.38353157043,35743,13,99.9636424656,185.128.106.173
true,1716619741.0647,elite,943.40908069298,1696996443.149,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,,true,"Performive LLC",34.0549,-118.243,false,"Family Guy Online",true,California,success,America/Los_Angeles,90035,1716585128,1716619741.0647,48606,socks4,socks4://68.71.249.153:48606,true,966.89486503601,78346,19798,79.827600260841,68.71.249.153
true,1716615020.4761,elite,680.30275045667,1710551294.2357,"AS20485 Joint Stock Company TransTeleCom",TRANSTELECOM,Saratov,Europe,EU,Russia,RU,,false,TRANS-TELECOM,51.5654,46.012,false,,true,"Saratov Oblast",success,Europe/Saratov,410000,1716157070,1716619740.9765,80,http,http://62.33.207.202:80,false,154.75535392761,26009,60136,30.192117940681,62.33.207.202
true,1716500098.7255,elite,265.9365646681,1714933752.0511,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"MediaServicePlus LLC",true,Moscow,success,Europe/Moscow,102483,1716143387,1716619740.8271,4444,http,http://185.128.106.208:4444,false,234.58695411682,35710,14,99.960810659501,185.128.106.208
true,1716411733.3423,elite,264.97961025573,1714933176.8268,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,102483,1716142812,1716619740.6815,4444,http,http://185.217.198.129:4444,false,234.86185073853,35696,22,99.938406405734,185.217.198.129
true,1716571071.7298,elite,393.58844417428,1716431382.4197,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1797,24.9344,false,"Hetzner Online GmbH",false,Uusimaa,success,Europe/Helsinki,00191,1716431383,1716619740.5131,80,http,http://65.109.189.49:80,false,175.59456825256,3968,36,99.100899100899,65.109.189.49
true,1716411925.0238,elite,262.19281413006,1714931434.733,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"MediaServicePlus LLC",true,Moscow,success,Europe/Moscow,102483,1716141104,1716619740.3691,4444,http,http://185.128.106.102:4444,false,232.50842094421,35737,35,99.90215811249,185.128.106.102
true,1716411840.1386,elite,287.33122404699,1714930991.5492,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"First Server Limited",true,Moscow,success,Europe/Moscow,102483,1716140653,1716619740.3088,4444,http,http://185.217.199.176:4444,false,235.61525344849,35633,140,99.608643390266,185.217.199.176
true,1716619740.2131,elite,3960.3553090153,1697008240.104,"AS7552 Viettel Group",VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,false,Newass2011xDSLHN,21.0292,105.8526,false,,true,Hanoi,success,Asia/Bangkok,,1716589836,1716619740.2131,4153,socks4,socks4://27.72.73.143:4153,true,2165.8368110657,8088,91639,8.1101406840675,27.72.73.143
true,1716618047.3115,elite,350.58343379928,1714932500.2109,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,102483,1716142161,1716619740.053,4444,http,http://185.128.107.41:4444,false,234.26723480225,35522,211,99.409509417065,185.128.107.41
true,1716619699.1807,elite,902.36469785843,1710540154.6307,"AS4766 Korea Telecom",KIXS-AS-KR,Bucheon-si,Asia,AS,"South Korea",KR,,false,"Korea Telecom",37.4759,126.787,false,"Korea Telecom",true,Gyeonggi-do,success,Asia/Seoul,147,1716157122,1716619739.9033,8197,http,http://211.222.252.187:8197,false,849.98559951782,16235,74362,17.920019426692,211.222.252.187
true,1716619512.0717,elite,3304.3592203407,1710634322.1415,"AS4809 China Telecom Next Generation Carrier Network",CHINATELECOM-CORE-WAN-CN2,Seoul,Asia,AS,"South Korea",KR,"Jeodong 2(i",false,"Dancom LDI",37.5641,126.99,false,,true,Seoul,success,Asia/Seoul,04625,1716147329,1716619739.2956,80,http,http://203.89.8.107:80,false,1237.7815246582,51068,41532,55.149028077754,203.89.8.107
true,1716619738.9693,elite,2178.8199994932,1697044597.7514,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.",Palora,"South America",SA,Ecuador,EC,,false,"Ufinet Panama S.A.",-1.70131,-77.9652,false,,true,"Morona-Santiago Province",success,America/Guayaquil,,1716591671,1716619738.9693,32213,socks4,socks4://177.234.192.47:32213,true,915.70162773132,7332,92551,7.3405884885316,177.234.192.47
